bunch_number,peak_lumi,intensity_beam_1,intensity_beam_2,pileup
458,-4.8227303E-8,0.0,0.0,-3.29E-5
459,-9.08923E-8,0.0,0.0,-6.2E-5
460,-5.2868455E-8,0.0,0.0,-3.61E-5
461,-4.876455E-8,0.0,0.0,-3.33E-5
462,-3.4878376E-8,0.0,0.0,-2.38E-5
463,3.2313096E-6,0.154,0.15,0.0022
464,-1.2484068E-7,0.0,0.0,-8.51E-5
465,6.4254705E-6,0.174,0.169,0.00438
466,-8.659279E-8,0.0,0.0,-5.91E-5
467,6.1421106E-6,0.152,0.148,0.00419
468,-8.122878E-8,0.0,0.0,-5.54E-5
469,5.644745E-6,0.168,0.165,0.00385
470,-9.987139E-8,0.0,0.0,-6.81E-5
471,4.623438E-6,0.155,0.147,0.00315
472,-1.4824357E-7,0.0,0.0,-1.01E-4
473,5.0787153E-6,0.172,0.166,0.00346
474,-1.1886371E-7,0.0,0.0,-8.11E-5
475,3.963546E-6,0.151,0.143,0.0027
476,-1.5369828E-7,0.0,0.0,-1.05E-4
477,6.161344E-6,0.167,0.158,0.0042
478,-1.0219831E-7,0.0,0.0,-6.97E-5
479,-1.7396339E-8,0.0,0.0,-1.19E-5
480,-7.479873E-8,0.0,0.0,-5.1E-5
481,5.317242E-6,0.154,0.149,0.00363
482,-1.2184432E-7,0.0,0.0,-8.31E-5
483,5.524644E-6,0.175,0.175,0.00377
484,-1.2451902E-7,0.0,0.0,-8.49E-5
485,3.1638822E-6,0.153,0.142,0.00216
486,-1.628576E-7,0.0,0.0,-1.11E-4
487,7.2064227E-6,0.171,0.168,0.00492
488,-8.990811E-8,0.0,0.0,-6.13E-5
489,3.3702033E-6,0.156,0.144,0.0023
490,-1.7731523E-7,0.0,0.0,-1.21E-4
491,6.146743E-6,0.176,0.172,0.00419
492,-9.117092E-8,0.0,0.0,-6.22E-5
493,2.4112496E-6,0.152,0.135,0.00164
494,-1.9195078E-7,0.0,0.0,-1.31E-4
495,6.0339435E-6,0.172,0.164,0.00412
496,-1.382046E-7,0.0,0.0,-9.43E-5
497,-5.4019424E-8,0.0,0.0,-3.68E-5
498,-5.7198324E-8,0.0,0.0,-3.9E-5
499,4.593218E-6,0.159,0.149,0.00313
500,-1.1169927E-7,0.0,0.0,-7.62E-5
501,6.138561E-6,0.171,0.176,0.00419
502,-1.2262406E-7,0.0,0.0,-8.36E-5
503,5.0533263E-6,0.154,0.148,0.00345
504,-1.3185371E-7,0.0,0.0,-8.99E-5
505,5.69563E-6,0.166,0.169,0.00388
506,-1.0926782E-7,0.0,0.0,-7.45E-5
507,5.177067E-6,0.158,0.152,0.00353
508,-1.3461104E-7,0.0,0.0,-9.18E-5
509,6.792237E-6,0.173,0.172,0.00463
510,-1.04235845E-7,0.0,0.0,-7.11E-5
511,4.510682E-6,0.151,0.141,0.00308
512,-1.3515367E-7,0.0,0.0,-9.22E-5
513,6.613411E-6,0.17,0.165,0.00451
514,-9.007029E-8,0.0,0.0,-6.14E-5
515,-8.500949E-8,0.0,0.0,-5.8E-5
516,-6.511253E-8,0.0,0.0,-4.44E-5
517,3.5414282E-6,0.154,0.154,0.00242
518,-2.1877354E-7,0.0,0.0,-1.49E-4
519,9.129349E-6,0.175,0.177,0.00623
520,-7.2549824E-8,0.0,0.0,-4.95E-5
521,3.4220182E-6,0.154,0.147,0.00233
522,-1.9938653E-7,0.0,0.0,-1.36E-4
523,8.661521E-6,0.175,0.168,0.00591
524,-7.254137E-8,0.0,0.0,-4.95E-5
525,5.110315E-6,0.155,0.146,0.00349
526,-1.1891982E-7,0.0,0.0,-8.11E-5
